CIK,Company Name,SIC,Industry,State Location,State Inc,Filling Date,URL
0001045810,NVIDIA CORP ,3674,SEMICONDUCTORS & RELATED DEVICES,CA,DE,2021-02-26,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000010/nvda-20210131.htm
0000104169,Walmart Inc. ,5331,RETAIL,AR,DE,2022-03-18,https://www.sec.gov/Archives/edgar/data/104169/000010416922000012/wmt-20220131.htm
0000104169,Walmart Inc. ,5331,RETAIL,AR,DE,2021-03-19,https://www.sec.gov/Archives/edgar/data/104169/000010416921000033/wmt-20210131.htm
0000080424,PROCTER & GAMBLE Co ,2840,SOAP,OH,OH,2021-08-06,https://www.sec.gov/Archives/edgar/data/80424/000008042421000100/pg-20210630.htm
0000034088,EXXON MOBIL CORP ,2911,PETROLEUM REFINING,TX,NJ,2022-02-23,https://www.sec.gov/Archives/edgar/data/34088/000003408822000011/xom-20211231.htm
0000034088,EXXON MOBIL CORP ,2911,PETROLEUM REFINING,TX,NJ,2021-02-24,https://www.sec.gov/Archives/edgar/data/34088/000003408821000012/xom-20201231.htm
0000019617,JPMORGAN CHASE & CO ,6021,NATIONAL COMMERCIAL BANKS,NY,DE,2022-02-22,https://www.sec.gov/Archives/edgar/data/19617/000001961722000272/jpm-20211231.htm
0000019617,JPMORGAN CHASE & CO ,6021,NATIONAL COMMERCIAL BANKS,NY,DE,2021-02-23,https://www.sec.gov/Archives/edgar/data/19617/000001961721000236/jpm-20201231.htm
0001141391,Mastercard Inc ,7389,SERVICES,NY,DE,2022-02-11,https://www.sec.gov/Archives/edgar/data/1141391/000114139122000023/ma-20211231.htm
0001141391,Mastercard Inc ,7389,SERVICES,NY,DE,2021-02-12,https://www.sec.gov/Archives/edgar/data/1141391/000114139121000018/ma-20201231.htm
0000354950,"HOME DEPOT, INC. ",5211,RETAIL,GA,DE,2022-03-23,https://www.sec.gov/Archives/edgar/data/354950/000035495022000070/hd-20220130.htm
0000354950,"HOME DEPOT, INC. ",5211,RETAIL,GA,DE,2021-03-24,https://www.sec.gov/Archives/edgar/data/354950/000035495021000089/hd-20210131.htm
0000093410,CHEVRON CORP ,2911,PETROLEUM REFINING,CA,DE,2022-02-24,https://www.sec.gov/Archives/edgar/data/93410/000009341022000019/cvx-20211231.htm
0000093410,CHEVRON CORP ,2911,PETROLEUM REFINING,CA,DE,2021-02-25,https://www.sec.gov/Archives/edgar/data/93410/000009341021000009/cvx-20201231.htm
0000070858,BANK OF AMERICA CORP /DE/ ,6021,NATIONAL COMMERCIAL BANKS,NC,DE,2022-02-22,https://www.sec.gov/Archives/edgar/data/70858/000007085822000062/bac-20211231.htm
0000070858,BANK OF AMERICA CORP /DE/ ,6021,NATIONAL COMMERCIAL BANKS,NC,DE,2021-02-24,https://www.sec.gov/Archives/edgar/data/70858/000007085821000023/bac-20201231.htm
0000059478,ELI LILLY & Co ,2834,PHARMACEUTICAL PREPARATIONS,IN,IN,2022-02-23,https://www.sec.gov/Archives/edgar/data/59478/000005947822000068/lly-20211231.htm
0000059478,ELI LILLY & Co ,2834,PHARMACEUTICAL PREPARATIONS,IN,IN,2021-02-17,https://www.sec.gov/Archives/edgar/data/59478/000005947821000083/lly-20201231.htm
0000021344,COCA COLA CO ,2080,BEVERAGES,GA,DE,2022-02-22,https://www.sec.gov/Archives/edgar/data/21344/000002134422000009/ko-20211231.htm
0000021344,COCA COLA CO ,2080,BEVERAGES,GA,DE,2021-02-25,https://www.sec.gov/Archives/edgar/data/21344/000002134421000008/ko-20201231.htm
0000078003,PFIZER INC ,2834,PHARMACEUTICAL PREPARATIONS,NY,DE,2022-02-24,https://www.sec.gov/Archives/edgar/data/78003/000007800322000027/pfe-20211231.htm
0000078003,PFIZER INC ,2834,PHARMACEUTICAL PREPARATIONS,NY,DE,2021-02-25,https://www.sec.gov/Archives/edgar/data/78003/000007800321000038/pfe-20201231.htm
0001551152,AbbVie Inc. ,2834,PHARMACEUTICAL PREPARATIONS,IL,DE,2022-02-18,https://www.sec.gov/Archives/edgar/data/1551152/000155115222000007/abbv-20211231.htm
0001551152,AbbVie Inc. ,2834,PHARMACEUTICAL PREPARATIONS,IL,DE,2021-02-19,https://www.sec.gov/Archives/edgar/data/1551152/000155115221000008/abbv-20201231.htm
0000077476,PEPSICO INC ,2080,BEVERAGES,NY,NC,2022-02-10,https://www.sec.gov/Archives/edgar/data/77476/000007747622000010/pep-20211225.htm
0000077476,PEPSICO INC ,2080,BEVERAGES,NY,NC,2021-02-11,https://www.sec.gov/Archives/edgar/data/77476/000007747621000007/pep-20201226.htm
0000909832,COSTCO WHOLESALE CORP /NEW ,5331,RETAIL,WA,WA,2021-10-06,https://www.sec.gov/Archives/edgar/data/909832/000090983221000014/cost-20210829.htm
0000310158,"Merck & Co., Inc. ",2834,PHARMACEUTICAL PREPARATIONS,NJ,NJ,2022-02-25,https://www.sec.gov/Archives/edgar/data/310158/000031015822000003/mrk-20211231.htm
0000310158,"Merck & Co., Inc. ",2834,PHARMACEUTICAL PREPARATIONS,NJ,NJ,2021-02-25,https://www.sec.gov/Archives/edgar/data/310158/000031015821000004/mrk-20201231.htm
0000097745,THERMO FISHER SCIENTIFIC INC. ,3829,MEASURING & CONTROLLING DEVICES,MA,DE,2022-02-24,https://www.sec.gov/Archives/edgar/data/97745/000009774522000011/tmo-20211231.htm
0000097745,THERMO FISHER SCIENTIFIC INC. ,3829,MEASURING & CONTROLLING DEVICES,MA,DE,2021-02-25,https://www.sec.gov/Archives/edgar/data/97745/000009774521000011/tmo-20201231.htm
0000858877,"CISCO SYSTEMS, INC. ",3576,COMPUTER COMMUNICATIONS EQUIPMENT,CA,DE,2021-09-09,https://www.sec.gov/Archives/edgar/data/858877/000085887721000013/csco-20210731.htm
0001744489,Walt Disney Co ,7990,SERVICES,CA,DE,2021-11-24,https://www.sec.gov/Archives/edgar/data/1744489/000174448921000220/dis-20211002.htm
0000001800,ABBOTT LABORATORIES ,2834,PHARMACEUTICAL PREPARATIONS,IL,IL,2022-02-18,https://www.sec.gov/Archives/edgar/data/1800/000110465922025141/abt-20211231x10k.htm
0000001800,ABBOTT LABORATORIES ,2834,PHARMACEUTICAL PREPARATIONS,IL,IL,2021-02-19,https://www.sec.gov/Archives/edgar/data/1800/000110465921025751/abt-20201231x10k.htm
0000320187,"NIKE, Inc. ",3021,RUBBER & PLASTICS FOOTWEAR,OR,OR,2021-07-20,https://www.sec.gov/Archives/edgar/data/320187/000032018721000028/nke-20210531.htm
0000732712,VERIZON COMMUNICATIONS INC ,4813,TELEPHONE COMMUNICATIONS ,NY,DE,2022-02-11,https://www.sec.gov/Archives/edgar/data/732712/000073271222000008/vz-20211231.htm
0000732712,VERIZON COMMUNICATIONS INC ,4813,TELEPHONE COMMUNICATIONS ,NY,DE,2021-02-25,https://www.sec.gov/Archives/edgar/data/732712/000073271221000012/vz-20201231.htm
0001467373,Accenture plc ,7389,SERVICES,L2,L2,2021-10-15,https://www.sec.gov/Archives/edgar/data/1467373/000146737321000229/acn-20210831.htm
0000796343,ADOBE INC. ,7372,SERVICES,CA,DE,2022-01-21,https://www.sec.gov/Archives/edgar/data/796343/000079634322000032/adbe-20211203.htm
0000796343,ADOBE INC. ,7372,SERVICES,CA,DE,2021-01-15,https://www.sec.gov/Archives/edgar/data/796343/000079634321000004/adbe-20201127.htm
0000063908,MCDONALDS CORP ,5812,RETAIL,IL,DE,2022-02-24,https://www.sec.gov/Archives/edgar/data/63908/000006390822000011/mcd-20211231.htm
0000063908,MCDONALDS CORP ,5812,RETAIL,IL,DE,2021-02-23,https://www.sec.gov/Archives/edgar/data/63908/000006390821000013/mcd-20201231.htm
0001166691,COMCAST CORP ,4841,CABLE & OTHER PAY TELEVISION SERVICES,PA,PA,2022-02-02,https://www.sec.gov/Archives/edgar/data/1166691/000116669122000009/cmcsa-20211231.htm
0001166691,COMCAST CORP ,4841,CABLE & OTHER PAY TELEVISION SERVICES,PA,PA,2021-02-04,https://www.sec.gov/Archives/edgar/data/1166691/000116669121000008/cmcsa-20201231.htm
0000313616,DANAHER CORP /DE/ ,3823,INDUSTRIAL INSTRUMENTS FOR MEASUREMENT,DC,DE,2022-02-23,https://www.sec.gov/Archives/edgar/data/313616/000031361622000061/dhr-20211231.htm
0000313616,DANAHER CORP /DE/ ,3823,INDUSTRIAL INSTRUMENTS FOR MEASUREMENT,DC,DE,2021-02-25,https://www.sec.gov/Archives/edgar/data/313616/000031361621000045/dhr-20201231.htm
0000050863,INTEL CORP ,3674,SEMICONDUCTORS & RELATED DEVICES,CA,DE,2022-01-27,https://www.sec.gov/Archives/edgar/data/50863/000005086322000007/intc-20211225.htm
0000050863,INTEL CORP ,3674,SEMICONDUCTORS & RELATED DEVICES,CA,DE,2021-01-22,https://www.sec.gov/Archives/edgar/data/50863/000005086321000010/intc-20201226.htm
0000072971,WELLS FARGO & COMPANY/MN ,6021,NATIONAL COMMERCIAL BANKS,CA,DE,2022-02-22,https://www.sec.gov/Archives/edgar/data/72971/000007297122000096/wfc-20211231.htm
0000072971,WELLS FARGO & COMPANY/MN ,6021,NATIONAL COMMERCIAL BANKS,CA,DE,2021-02-23,https://www.sec.gov/Archives/edgar/data/72971/000007297121000197/wfc-20201231.htm
0001108524,"Salesforce, Inc. ",7372,SERVICES,CA,DE,2022-03-11,https://www.sec.gov/Archives/edgar/data/1108524/000110852422000013/crm-20220131.htm
0001108524,"Salesforce, Inc. ",7372,SERVICES,CA,DE,2021-03-17,https://www.sec.gov/Archives/edgar/data/1108524/000110852422000008/crm-20210131.htm
0000014272,BRISTOL MYERS SQUIBB CO ,2834,PHARMACEUTICAL PREPARATIONS,NY,DE,2022-02-09,https://www.sec.gov/Archives/edgar/data/14272/000001427222000051/bmy-20211231.htm
0000014272,BRISTOL MYERS SQUIBB CO ,2834,PHARMACEUTICAL PREPARATIONS,NY,DE,2021-02-10,https://www.sec.gov/Archives/edgar/data/14272/000001427221000066/bmy-20201231.htm
0001707925,LINDE PLC ,2810,INDUSTRIAL INORGANIC CHEMICALS,X0,L2,2022-02-28,https://www.sec.gov/Archives/edgar/data/1707925/000162828022004180/lin-20211231.htm
0001707925,LINDE PLC ,2810,INDUSTRIAL INORGANIC CHEMICALS,X0,L2,2021-03-01,https://www.sec.gov/Archives/edgar/data/1707925/000162828021003574/lin-20201231.htm
0001350102,"Ascent Solar Technologies, Inc. ",3674,SEMICONDUCTORS & RELATED DEVICES,CO,DE,2022-03-14,https://www.sec.gov/Archives/edgar/data/1350102/000156459022010099/asti-10k_20211231.htm
0001350102,"Ascent Solar Technologies, Inc. ",3674,SEMICONDUCTORS & RELATED DEVICES,CO,DE,2021-05-14,https://www.sec.gov/Archives/edgar/data/1350102/000156459021027744/asti-10k_20201231.htm
0000097476,TEXAS INSTRUMENTS INC ,3674,SEMICONDUCTORS & RELATED DEVICES,TX,DE,2022-02-04,https://www.sec.gov/Archives/edgar/data/97476/000009747622000009/txn-20211231.htm
0000097476,TEXAS INSTRUMENTS INC ,3674,SEMICONDUCTORS & RELATED DEVICES,TX,DE,2021-02-05,https://www.sec.gov/Archives/edgar/data/97476/000009747621000006/txn-20201231.htm
0000804328,QUALCOMM INC/DE ,3663,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,CA,DE,2021-11-03,https://www.sec.gov/Archives/edgar/data/804328/000172894921000076/qcom-20210926.htm
0001090727,UNITED PARCEL SERVICE INC ,4210,TRUCKING & COURIER SERVICES ,GA,DE,2022-02-22,https://www.sec.gov/Archives/edgar/data/1090727/000109072722000007/ups-20211231.htm
0001090727,UNITED PARCEL SERVICE INC ,4210,TRUCKING & COURIER SERVICES ,GA,DE,2021-02-22,https://www.sec.gov/Archives/edgar/data/1090727/000109072721000013/ups-20201231.htm
0001413329,Philip Morris International Inc. ,2111,CIGARETTES,NY,VA,2022-02-11,https://www.sec.gov/Archives/edgar/data/1413329/000141332922000011/pm-20211231.htm
0001413329,Philip Morris International Inc. ,2111,CIGARETTES,NY,VA,2021-02-09,https://www.sec.gov/Archives/edgar/data/1413329/000141332921000007/pm-20201231.htm
0001283699,"T-Mobile US, Inc. ",4812,RADIO TELEPHONE COMMUNICATIONS,WA,DE,2022-02-11,https://www.sec.gov/Archives/edgar/data/1283699/000128369922000018/tmus-20211231.htm
0001283699,"T-Mobile US, Inc. ",4812,RADIO TELEPHONE COMMUNICATIONS,WA,DE,2021-02-23,https://www.sec.gov/Archives/edgar/data/1283699/000128369921000039/tmus-20201231.htm
0000100885,UNION PACIFIC CORP ,4011,RAILROADS,NE,UT,2022-02-04,https://www.sec.gov/Archives/edgar/data/100885/000143774922002494/unp20211231_10k.htm
0000100885,UNION PACIFIC CORP ,4011,RAILROADS,NE,UT,2021-02-05,https://www.sec.gov/Archives/edgar/data/100885/000010088521000068/unp-20201231x10k.htm
0000895421,MORGAN STANLEY ,6211,SECURITY BROKERS,NY,DE,2022-02-24,https://www.sec.gov/Archives/edgar/data/895421/000089542122000400/ms-20211231.htm
0000895421,MORGAN STANLEY ,6211,SECURITY BROKERS,NY,DE,2021-02-26,https://www.sec.gov/Archives/edgar/data/895421/000089542121000286/ms-20201231.htm
0000101829,RAYTHEON TECHNOLOGIES CORP ,3724,AIRCRAFT ENGINES & ENGINE PARTS,MA,DE,2022-02-11,https://www.sec.gov/Archives/edgar/data/101829/000010182922000005/rtx-20211231.htm
0000101829,RAYTHEON TECHNOLOGIES CORP ,3724,AIRCRAFT ENGINES & ENGINE PARTS,MA,DE,2021-02-08,https://www.sec.gov/Archives/edgar/data/101829/000010182921000008/rtx-20201231.htm
0000753308,NEXTERA ENERGY INC ,4911,ELECTRIC SERVICES,FL,FL,2022-02-18,https://www.sec.gov/Archives/edgar/data/37634/000075330822000014/nee-20211231.htm
0000753308,NEXTERA ENERGY INC ,4911,ELECTRIC SERVICES,FL,FL,2021-02-12,https://www.sec.gov/Archives/edgar/data/37634/000075330821000014/nee-20201231.htm
0000004962,AMERICAN EXPRESS CO ,6199,FINANCE SERVICES,NY,NY,2022-02-11,https://www.sec.gov/Archives/edgar/data/4962/000000496222000008/axp-20211231.htm
0000004962,AMERICAN EXPRESS CO ,6199,FINANCE SERVICES,NY,NY,2021-02-12,https://www.sec.gov/Archives/edgar/data/4962/000000496221000013/axp-20201231.htm
0000732717,AT&T INC. ,4813,TELEPHONE COMMUNICATIONS ,TX,DE,2022-02-16,https://www.sec.gov/Archives/edgar/data/732717/000073271722000015/t-20211231.htm
0000732717,AT&T INC. ,4813,TELEPHONE COMMUNICATIONS ,TX,DE,2021-02-25,https://www.sec.gov/Archives/edgar/data/732717/000073271721000012/t-20201231.htm
0000060667,LOWES COMPANIES INC ,5211,RETAIL,NC,NC,2022-03-21,https://www.sec.gov/Archives/edgar/data/60667/000006066722000038/low-20220128.htm
0000060667,LOWES COMPANIES INC ,5211,RETAIL,NC,NC,2021-03-22,https://www.sec.gov/Archives/edgar/data/60667/000006066721000026/low-20210129.htm
0000773840,HONEYWELL INTERNATIONAL INC ,3724,AIRCRAFT ENGINES & ENGINE PARTS,NC,DE,2022-02-11,https://www.sec.gov/Archives/edgar/data/773840/000077384022000018/hon-20211231.htm
0000773840,HONEYWELL INTERNATIONAL INC ,3724,AIRCRAFT ENGINES & ENGINE PARTS,NC,DE,2021-02-12,https://www.sec.gov/Archives/edgar/data/773840/000077384021000015/hon-20201231.htm
0000318154,AMGEN INC ,2836,BIOLOGICAL PRODUCTS ,CA,DE,2022-02-16,https://www.sec.gov/Archives/edgar/data/318154/000031815422000010/amgn-20211231.htm
0000318154,AMGEN INC ,2836,BIOLOGICAL PRODUCTS ,CA,DE,2021-02-09,https://www.sec.gov/Archives/edgar/data/318154/000031815421000010/amgn-20201231.htm
0000064803,CVS HEALTH Corp ,5912,RETAIL,RI,DE,2022-02-09,https://www.sec.gov/Archives/edgar/data/64803/000006480322000008/cvs-20211231.htm
0000064803,CVS HEALTH Corp ,5912,RETAIL,RI,DE,2021-02-16,https://www.sec.gov/Archives/edgar/data/64803/000006480321000011/cvs-20201231.htm
0001163165,CONOCOPHILLIPS ,2911,PETROLEUM REFINING,TX,DE,2022-02-17,https://www.sec.gov/Archives/edgar/data/1163165/000156276222000031/cop10k2021.htm
0001163165,CONOCOPHILLIPS ,2911,PETROLEUM REFINING,TX,DE,2021-02-16,https://www.sec.gov/Archives/edgar/data/1163165/000156276221000027/cop10k2020.htm
0000316709,SCHWAB CHARLES CORP ,6211,SECURITY BROKERS,TX,DE,2022-02-24,https://www.sec.gov/Archives/edgar/data/316709/000031670922000009/schw-20211231.htm
0000316709,SCHWAB CHARLES CORP ,6211,SECURITY BROKERS,TX,DE,2021-02-24,https://www.sec.gov/Archives/edgar/data/316709/000031670921000012/schw-20201231.htm
0001156039,"Anthem, Inc. ",6324,HOSPITAL & MEDICAL SERVICE PLANS,IN,IN,2022-02-16,https://www.sec.gov/Archives/edgar/data/1156039/000115603922000009/antm-20211231.htm
0001156039,"Anthem, Inc. ",6324,HOSPITAL & MEDICAL SERVICE PLANS,IN,IN,2021-02-18,https://www.sec.gov/Archives/edgar/data/1156039/000115603921000012/antm-20201231.htm
0000936468,LOCKHEED MARTIN CORP ,3760,GUIDED MISSILES & SPACE VEHICLES & PARTS,MD,MD,2022-01-25,https://www.sec.gov/Archives/edgar/data/936468/000093646822000008/lmt-20211231.htm
0000936468,LOCKHEED MARTIN CORP ,3760,GUIDED MISSILES & SPACE VEHICLES & PARTS,MD,MD,2021-01-28,https://www.sec.gov/Archives/edgar/data/936468/000093646821000013/lmt-20201231.htm
0000896878,INTUIT INC ,7372,SERVICES,CA,DE,2021-09-08,https://www.sec.gov/Archives/edgar/data/896878/000089687821000233/intu-20210731.htm
0001045609,"Prologis, Inc. ",6798,REAL ESTATE INVESTMENT TRUSTS,CA,MD,2022-02-09,https://www.sec.gov/Archives/edgar/data/1045609/000156459022004436/pld-10k_20211231.htm
0001045609,"Prologis, Inc. ",6798,REAL ESTATE INVESTMENT TRUSTS,CA,MD,2021-02-11,https://www.sec.gov/Archives/edgar/data/1045609/000156459021005312/pld-10k_20201231.htm
0000051143,INTERNATIONAL BUSINESS MACHINES CORP ,3570,COMPUTER & OFFICE EQUIPMENT,NY,NY,2022-02-22,https://www.sec.gov/Archives/edgar/data/51143/000155837022001584/ibm-20211231x10k.htm
0000051143,INTERNATIONAL BUSINESS MACHINES CORP ,3570,COMPUTER & OFFICE EQUIPMENT,NY,NY,2021-02-23,https://www.sec.gov/Archives/edgar/data/51143/000155837021001489/ibm-20201231x10k.htm
0000315189,DEERE & CO ,3523,FARM MACHINERY & EQUIPMENT,IL,DE,2021-12-16,https://www.sec.gov/Archives/edgar/data/315189/000155837021016864/de-20211031x10k.htm
0000018230,CATERPILLAR INC ,3531,CONSTRUCTION MACHINERY & EQUIP,IL,DE,2022-02-16,https://www.sec.gov/Archives/edgar/data/18230/000001823022000050/cat-20211231.htm
0000018230,CATERPILLAR INC ,3531,CONSTRUCTION MACHINERY & EQUIP,IL,DE,2021-02-17,https://www.sec.gov/Archives/edgar/data/18230/000001823021000063/cat-20201231.htm
0001053507,AMERICAN TOWER CORP /MA/ ,6798,REAL ESTATE INVESTMENT TRUSTS,MA,DE,2022-02-25,https://www.sec.gov/Archives/edgar/data/1053507/000105350722000017/amt-20211231.htm
0001053507,AMERICAN TOWER CORP /MA/ ,6798,REAL ESTATE INVESTMENT TRUSTS,MA,DE,2021-02-25,https://www.sec.gov/Archives/edgar/data/1053507/000105350721000026/amt-20201231.htm
0000027419,TARGET CORP ,5331,RETAIL,MN,MN,2022-03-09,https://www.sec.gov/Archives/edgar/data/27419/000002741922000007/tgt-20220129.htm
0000027419,TARGET CORP ,5331,RETAIL,MN,MN,2021-03-10,https://www.sec.gov/Archives/edgar/data/27419/000002741921000010/tgt-20210130.htm
0000002488,ADVANCED MICRO DEVICES INC ,3674,SEMICONDUCTORS & RELATED DEVICES,CA,DE,2022-02-03,https://www.sec.gov/Archives/edgar/data/2488/000000248822000016/amd-20211225.htm
0000002488,ADVANCED MICRO DEVICES INC ,3674,SEMICONDUCTORS & RELATED DEVICES,CA,DE,2021-01-29,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/amd-20201226.htm
0000764180,"ALTRIA GROUP, INC. ",2111,CIGARETTES,VA,VA,2022-02-25,https://www.sec.gov/Archives/edgar/data/764180/000076418022000019/mo-20211231.htm
0000764180,"ALTRIA GROUP, INC. ",2111,CIGARETTES,VA,VA,2021-02-26,https://www.sec.gov/Archives/edgar/data/764180/000076418021000037/mo-20201231.htm
0000886982,GOLDMAN SACHS GROUP INC ,6211,SECURITY BROKERS,NY,DE,2022-02-25,https://www.sec.gov/Archives/edgar/data/886982/000119312522052682/d192225d10k.htm
0000886982,GOLDMAN SACHS GROUP INC ,6211,SECURITY BROKERS,NY,DE,2021-02-22,https://www.sec.gov/Archives/edgar/data/886982/000119312521049380/d39654d10k.htm
0000006951,APPLIED MATERIALS INC /DE ,3674,SEMICONDUCTORS & RELATED DEVICES,CA,DC,2021-12-17,https://www.sec.gov/Archives/edgar/data/6951/000000695121000043/amat-20211031.htm
0001559720,"Airbnb, Inc. ",7340,SERVICES,CA,DE,2022-02-25,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000006/abnb-20211231.htm
0001559720,"Airbnb, Inc. ",7340,SERVICES,CA,DE,2021-02-26,https://www.sec.gov/Archives/edgar/data/1559720/000155972021000010/airbnb-10k.htm
0000831001,CITIGROUP INC ,6021,NATIONAL COMMERCIAL BANKS,NY,DE,2022-02-28,https://www.sec.gov/Archives/edgar/data/831001/000083100122000036/c-20211231.htm
0000831001,CITIGROUP INC ,6021,NATIONAL COMMERCIAL BANKS,NY,DE,2021-02-26,https://www.sec.gov/Archives/edgar/data/831001/000083100121000042/c-20201231.htm
0001001250,ESTEE LAUDER COMPANIES INC ,2844,PERFUMES,NY,DE,2021-08-27,https://www.sec.gov/Archives/edgar/data/1001250/000100125021000127/el-20210630.htm
0001364742,BlackRock Inc. ,6211,SECURITY BROKERS,NY,DE,2022-02-25,https://www.sec.gov/Archives/edgar/data/1364742/000156459022007117/blk-10k_20211231.htm
0001364742,BlackRock Inc. ,6211,SECURITY BROKERS,NY,DE,2021-02-25,https://www.sec.gov/Archives/edgar/data/1364742/000156459021008796/blk-10k_20201231.htm
0000008670,AUTOMATIC DATA PROCESSING INC ,7374,SERVICES,NJ,DE,2021-08-04,https://www.sec.gov/Archives/edgar/data/8670/000000867021000027/adp-20210630.htm
0000310764,STRYKER CORP ,3841,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,MI,MI,2022-02-11,https://www.sec.gov/Archives/edgar/data/310764/000031076422000028/syk-20211231.htm
0000310764,STRYKER CORP ,3841,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,MI,MI,2021-02-11,https://www.sec.gov/Archives/edgar/data/310764/000031076421000027/syk-20201231.htm
0001075531,Booking Holdings Inc. ,4700,TRANSPORTATION SERVICES,CT,DE,2022-02-23,https://www.sec.gov/Archives/edgar/data/1075531/000107553122000008/bkng-20211231.htm
0001075531,Booking Holdings Inc. ,4700,TRANSPORTATION SERVICES,CT,DE,2021-02-24,https://www.sec.gov/Archives/edgar/data/1075531/000107553121000019/bkng-20201231.htm
0000064040,S&P Global Inc. ,7320,SERVICES,NY,NY,2022-02-08,https://www.sec.gov/Archives/edgar/data/64040/000006404022000055/spgi-20211231.htm
0000064040,S&P Global Inc. ,7320,SERVICES,NY,NY,2021-02-09,https://www.sec.gov/Archives/edgar/data/64040/000006404021000063/spgi-20201231.htm
0001103982,"Mondelez International, Inc. ",2000,FOOD & KINDRED PRODUCTS,IL,IL,2022-02-04,https://www.sec.gov/Archives/edgar/data/1103982/000110398222000003/mdlz-20211231.htm
0001103982,"Mondelez International, Inc. ",2000,FOOD & KINDRED PRODUCTS,IL,IL,2021-02-05,https://www.sec.gov/Archives/edgar/data/1103982/000110398221000004/mdlz-20201231.htm
0000896159,Chubb Ltd ,6331,FIRE,V8,V8,2022-02-24,https://www.sec.gov/Archives/edgar/data/896159/000089615922000005/cb-20211231.htm
0000896159,Chubb Ltd ,6331,FIRE,V8,V8,2021-02-25,https://www.sec.gov/Archives/edgar/data/896159/000089615921000003/cb-20201231.htm
0000895728,ENBRIDGE INC ,4610,PIPE LINES ,A0,A0,2022-02-11,https://www.sec.gov/Archives/edgar/data/895728/000089572822000011/enb-20211231.htm
0000895728,ENBRIDGE INC ,4610,PIPE LINES ,A0,A0,2021-02-12,https://www.sec.gov/Archives/edgar/data/895728/000089572821000010/enb-20201231.htm
