CIK,Ticker,Company Name,SIC,Industry,State Location,State Inc,Filling Date,URL,digital asset,cryptocurrency,cryptocurrencies,digital holdings,bitcoin,ethereum,digital asset_table,cryptocurrency_table,cryptocurrencies_table,digital holdings_table,bitcoin_table,ethereum_table
0001551152,ABBV,AbbVie Inc. ,2834,PHARMACEUTICAL PREPARATIONS,IL,DE,2022-02-18,https://www.sec.gov/Archives/edgar/data/1551152/000155115222000007/abbv-20211231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0001551152,ABBV,AbbVie Inc. ,2834,PHARMACEUTICAL PREPARATIONS,IL,DE,2021-02-19,https://www.sec.gov/Archives/edgar/data/1551152/000155115221000008/abbv-20201231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000077476,PEP,PEPSICO INC ,2080,BEVERAGES,NY,NC,2022-02-10,https://www.sec.gov/Archives/edgar/data/77476/000007747622000010/pep-20211225.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000077476,PEP,PEPSICO INC ,2080,BEVERAGES,NY,NC,2021-02-11,https://www.sec.gov/Archives/edgar/data/77476/000007747621000007/pep-20201226.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000909832,COST,COSTCO WHOLESALE CORP /NEW ,5331,RETAIL,WA,WA,2021-10-06,https://www.sec.gov/Archives/edgar/data/909832/000090983221000014/cost-20210829.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000310158,MRK,"Merck & Co., Inc. ",2834,PHARMACEUTICAL PREPARATIONS,NJ,NJ,2022-02-25,https://www.sec.gov/Archives/edgar/data/310158/000031015822000003/mrk-20211231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000310158,MRK,"Merck & Co., Inc. ",2834,PHARMACEUTICAL PREPARATIONS,NJ,NJ,2021-02-25,https://www.sec.gov/Archives/edgar/data/310158/000031015821000004/mrk-20201231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000097745,TMO,THERMO FISHER SCIENTIFIC INC. ,3829,MEASURING & CONTROLLING DEVICES,MA,DE,2022-02-24,https://www.sec.gov/Archives/edgar/data/97745/000009774522000011/tmo-20211231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000097745,TMO,THERMO FISHER SCIENTIFIC INC. ,3829,MEASURING & CONTROLLING DEVICES,MA,DE,2021-02-25,https://www.sec.gov/Archives/edgar/data/97745/000009774521000011/tmo-20201231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000858877,CSCO,"CISCO SYSTEMS, INC. ",3576,COMPUTER COMMUNICATIONS EQUIPMENT,CA,DE,2021-09-09,https://www.sec.gov/Archives/edgar/data/858877/000085887721000013/csco-20210731.htm,0,0,0,0,0,0,0,0,0,0,0,0
0001744489,DIS,Walt Disney Co ,7990,SERVICES,CA,DE,2021-11-24,https://www.sec.gov/Archives/edgar/data/1744489/000174448921000220/dis-20211002.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000001800,ABT,ABBOTT LABORATORIES ,2834,PHARMACEUTICAL PREPARATIONS,IL,IL,2022-02-18,https://www.sec.gov/Archives/edgar/data/1800/000110465922025141/abt-20211231x10k.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000001800,ABT,ABBOTT LABORATORIES ,2834,PHARMACEUTICAL PREPARATIONS,IL,IL,2021-02-19,https://www.sec.gov/Archives/edgar/data/1800/000110465921025751/abt-20201231x10k.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000320187,NKE,"NIKE, Inc. ",3021,RUBBER & PLASTICS FOOTWEAR,OR,OR,2021-07-20,https://www.sec.gov/Archives/edgar/data/320187/000032018721000028/nke-20210531.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000732712,VZ,VERIZON COMMUNICATIONS INC ,4813,TELEPHONE COMMUNICATIONS ,NY,DE,2022-02-11,https://www.sec.gov/Archives/edgar/data/732712/000073271222000008/vz-20211231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000732712,VZ,VERIZON COMMUNICATIONS INC ,4813,TELEPHONE COMMUNICATIONS ,NY,DE,2021-02-25,https://www.sec.gov/Archives/edgar/data/732712/000073271221000012/vz-20201231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0001467373,ACN,Accenture plc ,7389,SERVICES,L2,L2,2021-10-15,https://www.sec.gov/Archives/edgar/data/1467373/000146737321000229/acn-20210831.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000796343,ADBE,ADOBE INC. ,7372,SERVICES,CA,DE,2022-01-21,https://www.sec.gov/Archives/edgar/data/796343/000079634322000032/adbe-20211203.htm,2,0,0,0,0,0,0,0,0,0,0,0
0000796343,ADBE,ADOBE INC. ,7372,SERVICES,CA,DE,2021-01-15,https://www.sec.gov/Archives/edgar/data/796343/000079634321000004/adbe-20201127.htm,1,0,0,0,0,0,0,0,0,0,0,0
0000063908,MCD,MCDONALDS CORP ,5812,RETAIL,IL,DE,2022-02-24,https://www.sec.gov/Archives/edgar/data/63908/000006390822000011/mcd-20211231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000063908,MCD,MCDONALDS CORP ,5812,RETAIL,IL,DE,2021-02-23,https://www.sec.gov/Archives/edgar/data/63908/000006390821000013/mcd-20201231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0001166691,CMCSA,COMCAST CORP ,4841,CABLE & OTHER PAY TELEVISION SERVICES,PA,PA,2022-02-02,https://www.sec.gov/Archives/edgar/data/1166691/000116669122000009/cmcsa-20211231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0001166691,CMCSA,COMCAST CORP ,4841,CABLE & OTHER PAY TELEVISION SERVICES,PA,PA,2021-02-04,https://www.sec.gov/Archives/edgar/data/1166691/000116669121000008/cmcsa-20201231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000313616,DHR,DANAHER CORP /DE/ ,3823,INDUSTRIAL INSTRUMENTS FOR MEASUREMENT,DC,DE,2022-02-23,https://www.sec.gov/Archives/edgar/data/313616/000031361622000061/dhr-20211231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000313616,DHR,DANAHER CORP /DE/ ,3823,INDUSTRIAL INSTRUMENTS FOR MEASUREMENT,DC,DE,2021-02-25,https://www.sec.gov/Archives/edgar/data/313616/000031361621000045/dhr-20201231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000050863,INTC,INTEL CORP ,3674,SEMICONDUCTORS & RELATED DEVICES,CA,DE,2022-01-27,https://www.sec.gov/Archives/edgar/data/50863/000005086322000007/intc-20211225.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000050863,INTC,INTEL CORP ,3674,SEMICONDUCTORS & RELATED DEVICES,CA,DE,2021-01-22,https://www.sec.gov/Archives/edgar/data/50863/000005086321000010/intc-20201226.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000072971,WFC,WELLS FARGO & COMPANY/MN ,6021,NATIONAL COMMERCIAL BANKS,CA,DE,2022-02-22,https://www.sec.gov/Archives/edgar/data/72971/000007297122000096/wfc-20211231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000072971,WFC,WELLS FARGO & COMPANY/MN ,6021,NATIONAL COMMERCIAL BANKS,CA,DE,2021-02-23,https://www.sec.gov/Archives/edgar/data/72971/000007297121000197/wfc-20201231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0001108524,CRM,"Salesforce, Inc. ",7372,SERVICES,CA,DE,2022-03-11,https://www.sec.gov/Archives/edgar/data/1108524/000110852422000013/crm-20220131.htm,0,0,0,0,0,0,0,0,0,0,0,0
0001108524,CRM,"Salesforce, Inc. ",7372,SERVICES,CA,DE,2021-03-17,https://www.sec.gov/Archives/edgar/data/1108524/000110852422000008/crm-20210131.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000014272,BMY,BRISTOL MYERS SQUIBB CO ,2834,PHARMACEUTICAL PREPARATIONS,NY,DE,2022-02-09,https://www.sec.gov/Archives/edgar/data/14272/000001427222000051/bmy-20211231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000014272,BMY,BRISTOL MYERS SQUIBB CO ,2834,PHARMACEUTICAL PREPARATIONS,NY,DE,2021-02-10,https://www.sec.gov/Archives/edgar/data/14272/000001427221000066/bmy-20201231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0001707925,LIN,LINDE PLC ,2810,INDUSTRIAL INORGANIC CHEMICALS,X0,L2,2022-02-28,https://www.sec.gov/Archives/edgar/data/1707925/000162828022004180/lin-20211231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0001707925,LIN,LINDE PLC ,2810,INDUSTRIAL INORGANIC CHEMICALS,X0,L2,2021-03-01,https://www.sec.gov/Archives/edgar/data/1707925/000162828021003574/lin-20201231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0001350102,ASTI,"Ascent Solar Technologies, Inc. ",3674,SEMICONDUCTORS & RELATED DEVICES,CO,DE,2022-03-14,https://www.sec.gov/Archives/edgar/data/1350102/000156459022010099/asti-10k_20211231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0001350102,ASTI,"Ascent Solar Technologies, Inc. ",3674,SEMICONDUCTORS & RELATED DEVICES,CO,DE,2021-05-14,https://www.sec.gov/Archives/edgar/data/1350102/000156459021027744/asti-10k_20201231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000097476,TXN,TEXAS INSTRUMENTS INC ,3674,SEMICONDUCTORS & RELATED DEVICES,TX,DE,2022-02-04,https://www.sec.gov/Archives/edgar/data/97476/000009747622000009/txn-20211231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000097476,TXN,TEXAS INSTRUMENTS INC ,3674,SEMICONDUCTORS & RELATED DEVICES,TX,DE,2021-02-05,https://www.sec.gov/Archives/edgar/data/97476/000009747621000006/txn-20201231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000804328,QCOM,QUALCOMM INC/DE ,3663,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,CA,DE,2021-11-03,https://www.sec.gov/Archives/edgar/data/804328/000172894921000076/qcom-20210926.htm,0,0,0,0,0,0,0,0,0,0,0,0
0001090727,UPS,UNITED PARCEL SERVICE INC ,4210,TRUCKING & COURIER SERVICES ,GA,DE,2022-02-22,https://www.sec.gov/Archives/edgar/data/1090727/000109072722000007/ups-20211231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0001090727,UPS,UNITED PARCEL SERVICE INC ,4210,TRUCKING & COURIER SERVICES ,GA,DE,2021-02-22,https://www.sec.gov/Archives/edgar/data/1090727/000109072721000013/ups-20201231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0001413329,PM,Philip Morris International Inc. ,2111,CIGARETTES,NY,VA,2022-02-11,https://www.sec.gov/Archives/edgar/data/1413329/000141332922000011/pm-20211231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0001413329,PM,Philip Morris International Inc. ,2111,CIGARETTES,NY,VA,2021-02-09,https://www.sec.gov/Archives/edgar/data/1413329/000141332921000007/pm-20201231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0001283699,TMUS,"T-Mobile US, Inc. ",4812,RADIO TELEPHONE COMMUNICATIONS,WA,DE,2022-02-11,https://www.sec.gov/Archives/edgar/data/1283699/000128369922000018/tmus-20211231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0001283699,TMUS,"T-Mobile US, Inc. ",4812,RADIO TELEPHONE COMMUNICATIONS,WA,DE,2021-02-23,https://www.sec.gov/Archives/edgar/data/1283699/000128369921000039/tmus-20201231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000100885,UNP,UNION PACIFIC CORP ,4011,RAILROADS,NE,UT,2022-02-04,https://www.sec.gov/Archives/edgar/data/100885/000143774922002494/unp20211231_10k.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000100885,UNP,UNION PACIFIC CORP ,4011,RAILROADS,NE,UT,2021-02-05,https://www.sec.gov/Archives/edgar/data/100885/000010088521000068/unp-20201231x10k.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000895421,MS,MORGAN STANLEY ,6211,SECURITY BROKERS,NY,DE,2022-02-24,https://www.sec.gov/Archives/edgar/data/895421/000089542122000400/ms-20211231.htm,2,0,0,0,0,0,0,0,0,0,0,0
0000895421,MS,MORGAN STANLEY ,6211,SECURITY BROKERS,NY,DE,2021-02-26,https://www.sec.gov/Archives/edgar/data/895421/000089542121000286/ms-20201231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000101829,RTX,RAYTHEON TECHNOLOGIES CORP ,3724,AIRCRAFT ENGINES & ENGINE PARTS,MA,DE,2022-02-11,https://www.sec.gov/Archives/edgar/data/101829/000010182922000005/rtx-20211231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000101829,RTX,RAYTHEON TECHNOLOGIES CORP ,3724,AIRCRAFT ENGINES & ENGINE PARTS,MA,DE,2021-02-08,https://www.sec.gov/Archives/edgar/data/101829/000010182921000008/rtx-20201231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000753308,NEE,NEXTERA ENERGY INC ,4911,ELECTRIC SERVICES,FL,FL,2022-02-18,https://www.sec.gov/Archives/edgar/data/37634/000075330822000014/nee-20211231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000753308,NEE,NEXTERA ENERGY INC ,4911,ELECTRIC SERVICES,FL,FL,2021-02-12,https://www.sec.gov/Archives/edgar/data/37634/000075330821000014/nee-20201231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000004962,AXP,AMERICAN EXPRESS CO ,6199,FINANCE SERVICES,NY,NY,2022-02-11,https://www.sec.gov/Archives/edgar/data/4962/000000496222000008/axp-20211231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000004962,AXP,AMERICAN EXPRESS CO ,6199,FINANCE SERVICES,NY,NY,2021-02-12,https://www.sec.gov/Archives/edgar/data/4962/000000496221000013/axp-20201231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000732717,T,AT&T INC. ,4813,TELEPHONE COMMUNICATIONS ,TX,DE,2022-02-16,https://www.sec.gov/Archives/edgar/data/732717/000073271722000015/t-20211231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000732717,T,AT&T INC. ,4813,TELEPHONE COMMUNICATIONS ,TX,DE,2021-02-25,https://www.sec.gov/Archives/edgar/data/732717/000073271721000012/t-20201231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000060667,LOW,LOWES COMPANIES INC ,5211,RETAIL,NC,NC,2022-03-21,https://www.sec.gov/Archives/edgar/data/60667/000006066722000038/low-20220128.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000060667,LOW,LOWES COMPANIES INC ,5211,RETAIL,NC,NC,2021-03-22,https://www.sec.gov/Archives/edgar/data/60667/000006066721000026/low-20210129.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000773840,HON,HONEYWELL INTERNATIONAL INC ,3724,AIRCRAFT ENGINES & ENGINE PARTS,NC,DE,2022-02-11,https://www.sec.gov/Archives/edgar/data/773840/000077384022000018/hon-20211231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000773840,HON,HONEYWELL INTERNATIONAL INC ,3724,AIRCRAFT ENGINES & ENGINE PARTS,NC,DE,2021-02-12,https://www.sec.gov/Archives/edgar/data/773840/000077384021000015/hon-20201231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000318154,AMGN,AMGEN INC ,2836,BIOLOGICAL PRODUCTS ,CA,DE,2022-02-16,https://www.sec.gov/Archives/edgar/data/318154/000031815422000010/amgn-20211231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000318154,AMGN,AMGEN INC ,2836,BIOLOGICAL PRODUCTS ,CA,DE,2021-02-09,https://www.sec.gov/Archives/edgar/data/318154/000031815421000010/amgn-20201231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000064803,CVS,CVS HEALTH Corp ,5912,RETAIL,RI,DE,2022-02-09,https://www.sec.gov/Archives/edgar/data/64803/000006480322000008/cvs-20211231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000064803,CVS,CVS HEALTH Corp ,5912,RETAIL,RI,DE,2021-02-16,https://www.sec.gov/Archives/edgar/data/64803/000006480321000011/cvs-20201231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0001163165,COP,CONOCOPHILLIPS ,2911,PETROLEUM REFINING,TX,DE,2022-02-17,https://www.sec.gov/Archives/edgar/data/1163165/000156276222000031/cop10k2021.htm,0,0,0,0,0,0,0,0,0,0,0,0
0001163165,COP,CONOCOPHILLIPS ,2911,PETROLEUM REFINING,TX,DE,2021-02-16,https://www.sec.gov/Archives/edgar/data/1163165/000156276221000027/cop10k2020.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000316709,SCHW,SCHWAB CHARLES CORP ,6211,SECURITY BROKERS,TX,DE,2022-02-24,https://www.sec.gov/Archives/edgar/data/316709/000031670922000009/schw-20211231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000316709,SCHW,SCHWAB CHARLES CORP ,6211,SECURITY BROKERS,TX,DE,2021-02-24,https://www.sec.gov/Archives/edgar/data/316709/000031670921000012/schw-20201231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0001156039,ANTM,"Anthem, Inc. ",6324,HOSPITAL & MEDICAL SERVICE PLANS,IN,IN,2022-02-16,https://www.sec.gov/Archives/edgar/data/1156039/000115603922000009/antm-20211231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0001156039,ANTM,"Anthem, Inc. ",6324,HOSPITAL & MEDICAL SERVICE PLANS,IN,IN,2021-02-18,https://www.sec.gov/Archives/edgar/data/1156039/000115603921000012/antm-20201231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000936468,LMT,LOCKHEED MARTIN CORP ,3760,GUIDED MISSILES & SPACE VEHICLES & PARTS,MD,MD,2022-01-25,https://www.sec.gov/Archives/edgar/data/936468/000093646822000008/lmt-20211231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000936468,LMT,LOCKHEED MARTIN CORP ,3760,GUIDED MISSILES & SPACE VEHICLES & PARTS,MD,MD,2021-01-28,https://www.sec.gov/Archives/edgar/data/936468/000093646821000013/lmt-20201231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000896878,INTU,INTUIT INC ,7372,SERVICES,CA,DE,2021-09-08,https://www.sec.gov/Archives/edgar/data/896878/000089687821000233/intu-20210731.htm,0,0,0,0,0,0,0,0,0,0,0,0
